abandon,abandonment
abase,abasement
abate,abatement
abbreviate,abbreviation
abdicate,abdication
abduct,abduction
err,aberration
abhor,abhorrence
abjure,abjuration
abolish,abolishment
abolish,abolition
abominate,abomination
abort,abortion
abrade,abrasion
abridge,abridgement
abrogate,abrogation
abscess,abscess
absorb,absorption
abstain,abstention
abstract,abstract
abuse,abuse
abut,abutment
accelerate,acceleration
speak,accent
accent,accent
accentuate,accentuation
accept,acceptance
accept,acceptation
access,access
ascend,accession
acclaim,acclaim
acclimate,acclimation
acclimatize,acclimatization
accompany,accompaniment
agree,accord
accord,accord
agree,accordance
accord,accordance
account,account
account,accountability
account,accounting
accredit,accreditation
accrete,accretion
accrue,accrual
accumulate,accumulation
accuse,accusation
achieve,achievement
acknowledge,acknowledgement
acknowledge,acknowledgment
acquaint,acquaintance
acquiesce,acquiescence
acquire,acquirement
acquit,acquittal
act,act
rule,act
act,acting
act,action
activate,activation
advertise,ad
adapt,adapting
addict,addiction
add,addition
address,address
adhere,adherence
adhere,adhesion
adjourn,adjournment
adjudicate,adjudication
adjure,adjuration
adjust,adjustment
administer,administration
admire,admiration
admit,admission
admit,admittance
admonish,admonition
fuss,ado
adopt,adoption
adore,adoration
adorn,adornment
adulterate,adulteration
advance,advance
advance,advancement
exploit,advantage
gain,advantage
predict,advent
experience,adventure
advertise,advertisement
advertise,advertising
advise,advice
advice,advisory
advocate,advocacy
sponsor,aegis
aerate,aeration
hug,affair
affect,affect
affect,affectation
affect,affection
approve,affinity
affirm,affirmation
afflict,affliction
afford,affordability
afforest,afforestation
affect,aftereffect
desire,agenda
catalyze,agent
agglomerate,agglomeration
aggrandize,aggrandizement
aggravate,aggravation
aggregate,aggregate
aggregate,aggregation
agress,aggression
age,aging
agitate,agitation
aid,aid
aim,aim
pretend,air
air,air
air,airing
warn,alarm
alarm,alarm
alert,alert
alienate,alienation
align,alignment
allege,allegation
alleviate,alleviation
ally,alliance
allocate,allocation
allure,allure
allure,allurement
allude,allusion
alter,alteration
alternate,alternation
amalgamate,amalgamation
ameliorate,amelioration
benefit,amenity
pardon,amnesty
amortize,amortization
amplify,amplification
amputate,amputation
anchor,anchor
anger,anger
view,angle
upset,angst
animadvert,animadversion
animate,animation
record,annals
annex,annexation
annihilate,annihilation
commemorate,anniversary
annotate,annotation
annul,annulment
annunciate,annunciation
anoint,anointment
answer,answer
antagonize,antagonism
precede,antecedent
gesture,antic
anticipate,anticipation
apologize,apology
appear,apparition
appease,appeasement
desire,appetite
applaud,applause
apply,appliance
apply,applicability
apply,application
meet,appointment
appraise,appraisal
appreciate,appreciation
dread,apprehension
approach,approach
approve,approbation
appropriate,appropriation
approve,approval
approve,approving
approximate,approximation
work,arbitrage
arbitrate,arbitration
surround,area
argue,argument
smell,aroma
arraign,arraignment
owe,arrears
arrest,arrest
arrive,arrival
stretch,artery
articulate,articulation
result,artifact
ascend,ascendency
ascend,ascension
ascend,ascent
ascribe,ascription
ask,asking
asperse,aspersion
asphyxiate,asphyxiation
aspirate,aspiration2
aspire,aspiration1
hurt,ass
assassinate,assassination
attack,assault
assault,assault
assemble,assemblage
assemble,assembly
agree,assent
assent,assent
assert,assertion
assess,assessment
asseverate,asseveration
assign,assignation
assimilate,assimilation
assist,assistance
associate,association
assure,assurance
astonish,astonishment
shelter,asylum
atone,atonement
attack,atrocity
attach,attachment
attack,attack
attain,attainment
attempt,attempt
attend,attendance
attend,attention
attenuate,attenuation
feel,attitude
attract,attraction
attribute,attribution
auction,auction
auction,auctioning
audit,audit
audition,audition
augment,augmentation
authenticate,authentication
authorize,authorization
autograph,autograph
automate,automation
average,averaging
avert,aversion
avoid,avoidance
avow,avowal
redistribute,award
award,award
award,awarding
rule,axiom
back,backing
anger,backlash
backlog,backlog
bag,bagging 
bail,bailment
balance,balance
balance,balancing
balloon,ballooning
vote,balloting
ballot,balloting
ban,ban
bang,bang
banish,banishment
bank,banking
ban,banning
banter,banter
baptize,baptism
barbarize,barbarism
bargain,bargain
bargain,bargaining
barter,barter
barter,bartering
base,base
bash,bashing
base,basis
batter,battering
bat,batting
battle,battle
defend,battlement
battle,battling
behave,bearing
balance,bearing
bear,bearing
beatify,beatification
bedevil,bedevilment
beep,beeping
beg,beggar
begin,beginning
support,behalf
behave,behavior
behead,beheading
request,behest
be,being
belch,belch
believe,belief
benefit,benefit
bequeath,bequest
bereave,bereavement
berth,berthing
bestow,bestowal
bet,bet
betray,betrayal
betroth,betrothal
better,betterment
bet,betting
